City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
138,Jamestown,US,2021-08-22 01:29:00,42.097,-79.2353,71.19,98,90,1.99,mist
139,Shingu,JP,2021-08-22 01:30:29,33.7333,135.9833,81.91,68,100,9.01,light rain
140,Skibbereen,IE,2021-08-22 01:33:16,51.55,-9.2667,57.0,95,94,8.52,overcast clouds
141,Dinguiraye,GN,2021-08-22 01:33:16,11.3,-10.7167,70.79,95,100,3.33,overcast clouds
142,Caravelas,BR,2021-08-22 01:31:53,-17.7125,-39.2481,69.75,82,5,4.97,clear sky
143,Luderitz,NA,2021-08-22 01:31:37,-26.6481,15.1594,51.53,75,0,18.41,clear sky
144,Gamba,GA,2021-08-22 01:28:20,-2.65,10.0,72.72,82,100,6.02,overcast clouds
145,Port Lincoln,AU,2021-08-22 01:28:27,-34.7333,135.8667,63.66,52,1,22.41,clear sky
146,East London,ZA,2021-08-22 01:28:44,-33.0153,27.9116,57.54,73,4,11.12,clear sky
147,Cumana,VE,2021-08-22 01:33:17,10.4635,-64.1775,82.49,86,38,9.17,scattered clouds
148,Roma,US,2021-08-22 01:33:17,43.2128,-75.4557,75.34,85,20,5.75,few clouds
149,Mehamn,NO,2021-08-22 01:31:56,71.0357,27.8492,42.93,76,100,5.08,overcast clouds
150,Peruibe,BR,2021-08-22 01:33:18,-24.32,-46.9983,63.14,94,6,3.83,clear sky
151,Kedrovyy,RU,2021-08-22 01:33:18,56.1667,91.8167,50.41,65,93,3.78,overcast clouds
152,Upernavik,GL,2021-08-22 01:28:43,72.7868,-56.1549,38.28,91,35,11.25,scattered clouds
153,Mullovka,RU,2021-08-22 01:33:18,54.2,49.4,71.42,29,100,6.38,light rain
154,Mosquera,CO,2021-08-22 01:32:19,4.7059,-74.2302,53.69,94,40,4.61,scattered clouds
155,Diu,IN,2021-08-22 01:33:19,20.7141,70.9822,77.63,89,100,5.3,overcast clouds
156,Dunedin,NZ,2021-08-22 01:30:10,-45.8742,170.5036,48.79,61,100,5.99,overcast clouds
157,Pisco,PE,2021-08-22 01:31:41,-13.7,-76.2167,62.65,77,0,9.22,clear sky
158,Inyonga,TZ,2021-08-22 01:33:19,-6.7167,32.0667,65.53,61,23,3.58,few clouds
159,Severo-Kurilsk,RU,2021-08-22 01:28:11,50.6789,156.125,56.05,92,100,9.78,overcast clouds
160,Bureya,RU,2021-08-22 01:33:20,49.8133,129.8131,64.78,97,100,7.65,overcast clouds
161,Yumen,CN,2021-08-22 01:30:18,40.2833,97.2,75.16,18,0,9.06,clear sky
162,Capaci,IT,2021-08-22 01:33:20,38.1711,13.2393,79.25,72,0,5.75,clear sky
163,Aykhal,RU,2021-08-22 01:33:20,66.0,111.5,50.7,55,6,11.59,clear sky
164,Noumea,NC,2021-08-22 01:32:41,-22.2763,166.4572,75.18,68,41,17.0,scattered clouds
165,Grand Gaube,MU,2021-08-22 01:30:05,-20.0064,57.6608,65.37,71,0,1.99,clear sky
166,Suez,EG,2021-08-22 01:33:21,29.9737,32.5263,75.9,85,0,9.33,clear sky
167,Muroto,JP,2021-08-22 01:31:52,33.2833,134.15,82.44,85,100,12.59,overcast clouds
168,Coahuayana,MX,2021-08-22 01:33:21,18.7333,-103.6833,85.48,96,100,5.44,overcast clouds
169,Kodiak,US,2021-08-22 01:31:17,57.79,-152.4072,60.31,59,90,3.44,overcast clouds
170,Carauari,BR,2021-08-22 01:33:22,-4.8828,-66.8958,74.35,87,35,1.36,scattered clouds
171,Arani,IN,2021-08-22 01:33:22,12.6667,79.2833,79.48,73,96,1.25,overcast clouds
172,Daraitan,PH,2021-08-22 01:33:22,14.6028,121.4319,83.71,66,99,2.75,overcast clouds
173,Makinsk,KZ,2021-08-22 01:33:23,52.6292,70.4169,60.87,47,0,2.59,clear sky
174,Bathsheba,BB,2021-08-22 01:31:38,13.2167,-59.5167,83.01,83,40,18.41,scattered clouds
175,Arraial Do Cabo,BR,2021-08-22 01:27:59,-22.9661,-42.0278,69.71,88,0,16.46,clear sky
176,Kavieng,PG,2021-08-22 01:32:10,-2.5744,150.7967,84.33,71,35,14.25,light rain
177,Hambantota,LK,2021-08-22 01:33:23,6.1241,81.1185,79.14,100,20,3.44,few clouds
178,Kefamenanu,ID,2021-08-22 01:33:24,-9.4467,124.4781,85.46,31,75,9.55,broken clouds
179,Zyryanka,RU,2021-08-22 01:29:00,65.75,150.85,64.98,61,100,1.41,overcast clouds
